city_ascii,country,population
Kasempa,Zambia,5622
Kitwe,Zambia,404901
Mufulira,Zambia,153624
Nchelenge,Zambia,23693
Mazabuka,Zambia,64006
Lukulu,Zambia,3349
Kafue,Zambia,47554
Lundazi,Zambia,11635
Mansa,Zambia,42277
Mwinilunga,Zambia,13798
Mumbwa,Zambia,19086
Kalabo,Zambia,7731
Nyimba,Zambia,1336
Kapiri Mposhi,Zambia,37942
Kabwe,Zambia,188979
Ndola,Zambia,396339
Kasama,Zambia,200000
Mbala,Zambia,20570
Kawambwa,Zambia,20589
Luanshya,Zambia,151993
Mongu,Zambia,52534
Mpika,Zambia,28445
Chinsali,Zambia,14015
Livingstone,Zambia,165480
Choma,Zambia,46746
Plumtree,Zimbabwe,2148
Kariba,Zimbabwe,25531
Hwange,Zimbabwe,33989
Chiredzi,Zimbabwe,28205
Mazowe,Zimbabwe,9966
Zvishavane,Zimbabwe,35896
Shamva,Zimbabwe,10317
Harare,Zimbabwe,1572000
Kwekwe,Zimbabwe,99149
Kadoma,Zimbabwe,79174
Beitbridge,Zimbabwe,26459
Karoi,Zimbabwe,25030
Victoria Falls,Zimbabwe,35761
Chitungwiza,Zimbabwe,340360
Bindura,Zimbabwe,
Lupane,Zimbabwe,
Marondera,Zimbabwe,
Masvingo,Zimbabwe,76311
Mutare,Zimbabwe,249365
Bulawayo,Zimbabwe,699385
Chinhoyi,Zimbabwe,61739
Gwanda,Zimbabwe,14450
Gweru,Zimbabwe,183358
Maqat,Kazakhstan,14082
Zhangaozen,Kazakhstan,8895
Taraz,Kazakhstan,358153
Oral,Kazakhstan,209788
Balqash,Kazakhstan,81364
Zaysan,Kazakhstan,17600
Oytal,Kazakhstan,22673
Zholymbet,Kazakhstan,6876
Serebryansk,Kazakhstan,701
Chapaev,Kazakhstan,6000
Ridder,Kazakhstan,56756
Zhaltyr,Kazakhstan,694
Atbasar,Kazakhstan,35819
Aqsay,Kazakhstan,34799
Shemonaikha,Kazakhstan,27176
Atasu,Kazakhstan,19616
Rudny,Kazakhstan,124000
Makhambet,Kazakhstan,8905
Fort Shevchenko,Kazakhstan,5213
Qusmuryn,Kazakhstan,8049
Oktyabrsk,Kazakhstan,28196
Khromtau,Kazakhstan,23715
Algha,Kazakhstan,28267
Embi,Kazakhstan,18760
Ushtobe,Kazakhstan,20492
Burylbaytal,Kazakhstan,100
Zhanibek,Kazakhstan,8212
Esil,Kazakhstan,13504
Derzhavinsk,Kazakhstan,15848
Saryshaghan,Kazakhstan,4365
Turgay,Kazakhstan,5277
Sarqan,Kazakhstan,76919
Arqalyq,Kazakhstan,55521
Shalqar,Kazakhstan,27256
Shieli,Kazakhstan,29832
Bayghanin,Kazakhstan,7657
Zhezqazghan,Kazakhstan,104357
Mangyshlak,Kazakhstan,147443
Zhosaly,Kazakhstan,20065
Beyneu,Kazakhstan,32452
Qazaly,Kazakhstan,6582
Aral,Kazakhstan,33017
Ayakoz,Kazakhstan,45861
Urzhar,Kazakhstan,14826
Qapshaghay,Kazakhstan,42167
Esik,Kazakhstan,35319
Qaratau,Kazakhstan,37881
Sharbaqty,Kazakhstan,107
Oostanay,Kazakhstan,236901
Kachiry,Kazakhstan,8931
Kishkenekol,Kazakhstan,6779
Bulaevo,Kazakhstan,9886
Shonzhy,Kazakhstan,3902
Qyzylorda,Kazakhstan,300000
Qaraghandy,Kazakhstan,451800
Ertis,Kazakhstan,9216
Tayynsha,Kazakhstan,13148
Qulan,Kazakhstan,13128
Shu,Kazakhstan,42439
Kentau,Kazakhstan,57408
Oskemen,Kazakhstan,319067
Aqtau,Kazakhstan,4479
Taldyqorghan,Kazakhstan,88380
Astana,Kazakhstan,345604
Aqtobe,Kazakhstan,262457
Kokshetau,Kazakhstan,128873
Petropavlovsk,Kazakhstan,228238
Pavlodar,Kazakhstan,329002
Otar,Kazakhstan,11238
Almaty,Kazakhstan,1209000
Bestobe,Kazakhstan,7189
Arys,Kazakhstan,42648
Lenger,Kazakhstan,23058
Aqsu,Kazakhstan,8543
Temirtau,Kazakhstan,170600
Makinsk,Kazakhstan,23020
Osakarovka,Kazakhstan,7305
Qarqaraly,Kazakhstan,8195
Ekibastuz,Kazakhstan,127868
Zyryanovsk,Kazakhstan,49658
Komsomolets,Kazakhstan,9838
Baykonur,Kazakhstan,36175
Erymentau,Kazakhstan,25141
Qarazhal,Kazakhstan,22170
Tobol,Kazakhstan,7155
Shar,Kazakhstan,9087
Semey,Kazakhstan,311353
Boralday,Kazakhstan,20996
Zhetiqara,Kazakhstan,46740
Aqadyr,Kazakhstan,9710
Zharkent,Kazakhstan,36496
Qulsary,Kazakhstan,37103
Balyqshy,Kazakhstan,31624
Atyrau,Kazakhstan,182753
Shymkent,Kazakhstan,465392
Turkistan,Kazakhstan,97360
Xiangkhoang,Laos,5189
Muang Phonsavan,Laos,
Vientiane,Laos,754000
Ban Houayxay,Laos,6347
Muang Phon-Hong,Laos,
Louang Namtha,Laos,3225
Phongsali,Laos,6000
Thakhek,Laos,76928
Muang Pakxan,Laos,
Louangphrabang,Laos,107142
Xaignabouri,Laos,16200
Savannakhet,Laos,84898
Lamam,Laos,
Pakxe,Laos,102775
Attapu,Laos,4297
Xam Nua,Laos,38992
Muang Xai,Laos,
Saravan,Laos,5521
Champasak,Laos,12994
Beirut,Lebanon,1846000
Zahle,Lebanon,78145
Baalbek,Lebanon,
B'abda,Lebanon,9000
Halba,Lebanon,
Saida,Lebanon,173894
Nabatiye et Tahta,Lebanon,80000
Trablous,Lebanon,530000
Castries,Saint Lucia,37963
Gamprin,Liechtenstein,
Triesenberg,Liechtenstein,
Schaan,Liechtenstein,
Ruggell,Liechtenstein,
Mauren,Liechtenstein,
Eschen,Liechtenstein,
Triesen,Liechtenstein,
Balzers,Liechtenstein,
Vaduz,Liechtenstein,36281
Planken,Liechtenstein,
Schellenberg,Liechtenstein,
Colombo,Sri Lanka,217000
Ratnapura,Sri Lanka,47832
Matara,Sri Lanka,68244
Sri Jawewardenepura Kotte,Sri Lanka,115826
Moratuwa,Sri Lanka,200000
Anuradhapura,Sri Lanka,118302
Galle,Sri Lanka,99478
Puttalan,Sri Lanka,45661
Kandy,Sri Lanka,111701
Badulla,Sri Lanka,47587
Trincomalee,Sri Lanka,108420
Kilinochchi,Sri Lanka,103717
Batticaloa,Sri Lanka,129222
Jaffna,Sri Lanka,250000
Bopolu,Liberia,
Voinjama,Liberia,26594
Robertsport,Liberia,11969
Buchanan,Liberia,48315
Monrovia,Liberia,1041000
Tubmanburg,Liberia,
Buchanan,Liberia,
Zwedru,Liberia,25678
Barclayville,Liberia,2733
Rivercess,Liberia,2578
Fish Town,Liberia,
Gbarnga,Liberia,45835
Kakata,Liberia,33945
Sanniquellie,Liberia,11415
Greenville,Liberia,10374
Bensonville,Liberia,4089
Harper,Liberia,32661
Maseru,Lesotho,361324
Mokhotlong,Lesotho,8809
Thaba-Tseka,Lesotho,
Moyeni,Lesotho,24130
Qacha's Nek,Lesotho,
Mafetang,Lesotho,57059
Hlotse,Lesotho,47675
Teyateyaneng,Lesotho,5115
Mohales Hoek,Lesotho,24992
Butha-Buthe,Lesotho,16330
Klaipeda,Lithuania,192307
Palanga,Lithuania,
Nida,Lithuania,
Kretinga,Lithuania,
Taurage,Lithuania,
Silute,Lithuania,
Rietavas,Lithuania,
Plunge,Lithuania,
Silale,Lithuania,
Visaginas,Lithuania,
Zarasai,Lithuania,
Ignalina,Lithuania,
Utena,Lithuania,
Svencionys,Lithuania,
Rokiskis,Lithuania,
Moletai,Lithuania,
Salcininkai,Lithuania,
Vilnius,Lithuania,542366
Kupiskis,Lithuania,
Trakai,Lithuania,
Birzai,Lithuania,
Anyksciai,Lithuania,
Telsiai,Lithuania,
Kelme,Lithuania,
Marijampole,Lithuania,
Lazdijai,Lithuania,
Sakiai,Lithuania,
Radviliskis,Lithuania,
Siauliai,Lithuania,133528
Birstonas,Lithuania,
Druskininkai,Lithuania,
Kedainiai,Lithuania,
Alytus,Lithuania,
Prienai,Lithuania,
Elektrenai,Lithuania,
Kaunas,Lithuania,374643
Jonava,Lithuania,
Kaisiadorys,Lithuania,
Panevezys,Lithuania,127405
Joniskis,Lithuania,
Kazlu Ruda,Lithuania,
Vilkaviskis,Lithuania,
Pasvalys,Lithuania,
Pakruojis,Lithuania,
Raseiniai,Lithuania,
Pagegiai,Lithuania,
Jurbarkas,Lithuania,
Kalvarija,Lithuania,
Sirvintos,Lithuania,
Skuodas,Lithuania,
Mazeikiai,Lithuania,
Akmene,Lithuania,
Ukmerge,Lithuania,
Varena,Lithuania,
Capellen,Luxembourg,
Esch-sur-Alzette,Luxembourg,
Remich,Luxembourg,
Echternach,Luxembourg,
Mersch,Luxembourg,
Redange-sur-Attert,Luxembourg,
Vianden,Luxembourg,
Wiltz,Luxembourg,
Clervaux,Luxembourg,
Diekirch,Luxembourg,6242
Grevenmacher,Luxembourg,3958
Luxembourg,Luxembourg,107260
Auce,Latvia,
Daugavpils,Latvia,111564
Jekabpils,Latvia,
Salacgriva,Latvia,
Ventspils,Latvia,42884
Dundaga,Latvia,
Jaunjelgava,Latvia,
Nereta,Latvia,
Alsunga,Latvia,
Kuldiga,Latvia,
Pavilosta,Latvia,
Pinki,Latvia,
Adazi,Latvia,
Kandava,Latvia,
Roja,Latvia,
Carnikava,Latvia,
Garkalne,Latvia,
Saulkrasti,Latvia,
Smarde,Latvia,
Mersrags,Latvia,
Talsi,Latvia,
Jurmala,Latvia,
Marupe,Latvia,
Ulbroka,Latvia,
Zilupe,Latvia,
Ludza,Latvia,
Dagda,Latvia,
Baltinava,Latvia,
Cibla,Latvia,
Karsava,Latvia,
Riga,Latvia,742572
Kraslava,Latvia,
Limbazi,Latvia,
Preili,Latvia,
Vecvarkava,Latvia,
Ilukste,Latvia,
Nica,Latvia,
Bauska,Latvia,
Vilaka,Latvia,
Livani,Latvia,
Aluksne,Latvia,
Jaunpils,Latvia,
Broceni,Latvia,
Rugaji,Latvia,
Riebini,Latvia,
Vilani,Latvia,
Varaklani,Latvia,
Ape,Latvia,
Madona,Latvia,
Jaunpiebalga,Latvia,
Lubana,Latvia,
Gulbene,Latvia,
Balvi,Latvia,
Akniste,Latvia,
Viesite,Latvia,
Cesvaine,Latvia,
Kegums,Latvia,
Vecpiebalga,Latvia,
Smiltene,Latvia,
Drabesi,Latvia,
Cesis,Latvia,
Ergli,Latvia,
Valka,Latvia,
Grobina,Latvia,
Strenci,Latvia,
Murmuiza,Latvia,
Mazsalaca,Latvia,
Aloja,Latvia,
Burtnieki,Latvia,
Koknese,Latvia,
Aizkraukle,Latvia,
Skriveri,Latvia,
Baldone,Latvia,
Vecumnieki,Latvia,
Sala,Latvia,
Plavinas,Latvia,
Liepaga,Latvia,85132
Rujiena,Latvia,
Naukseni,Latvia,
Liegi,Latvia,
Rauna,Latvia,
Aizpute,Latvia,
Koceni,Latvia,
Valmiera,Latvia,
Sigulda,Latvia,
Priekuli,Latvia,
Ogre,Latvia,
Ragana,Latvia,
Loja,Latvia,
Ropazi,Latvia,
Priekule,Latvia,
Iecava,Latvia,
Rucava,Latvia,
Pilsrundale,Latvia,
Salaspils,Latvia,
Ikskile,Latvia,
Lielvarde,Latvia,
Incukalns,Latvia,
Malpils,Latvia,
Olaine,Latvia,
Kekava,Latvia,
Ligatne,Latvia,
Stalbe,Latvia,
Jelgava,Latvia,67207
Skrunda,Latvia,
Vainode,Latvia,
Saldus,Latvia,
Tukums,Latvia,
Tervete,Latvia,
Dobele,Latvia,
Rezekne,Latvia,38340
Aglona,Latvia,
Ozolnieki,Latvia,
Tripoli,Libya,2189000
Al `Aziziyah,Libya,
Zuwarah,Libya,180310
Al Khums,Libya,201943
As Sidr,Libya,50
Ghadamis,Libya,6623
Dirj,Libya,931
Nalut,Libya,66609
Umm al Abid,Libya,300
Sabha,Libya,100249
Birak,Libya,45421
Idri,Libya,
Zillah,Libya,10
Hun,Libya,18878
Az Zawiyah,Libya,200000
Awjilah,Libya,6610
El Agheila,Libya,100
Maradah,Libya,2500
Ajdabiya,Libya,143833
Darnah,Libya,127974
Al Jaghbub,Libya,1744
Mizdah,Libya,26107
Gharyan,Libya,146810
Tubruq,Libya,263527
Shahhat,Libya,45000
Tajarhi,Libya,1500
Al Bayda,Libya,1794
Ghat,Libya,24347
Tmassah,Libya,500
Marzuq,Libya,55071
Al Marj,Libya,169540
Surt,Libya,128123
Bani Walid,Libya,65392
Awbari,Libya,
Al Jawf,Libya,24132
Al Kufrah,Libya,
Qaminis,Libya,5348
Banghazi,Libya,1180000
Misratah,Libya,386120
Kenitra,Morocco,551786
Goulimine,Morocco,115267
Fez,Morocco,1002000
Casablanca,Morocco,3181000
Agadir,Morocco,825467
Beni Mellal,Morocco,
Tangier,Morocco,750060
Settat,Morocco,161748
Oujda,Morocco,409391
Meknes,Morocco,697628
Rabat,Morocco,1705000
Marrakesh,Morocco,872000
El Jadida,Morocco,180470
Er Rachidia,Morocco,228489
Tan Tan,Morocco,64868
Taza,Morocco,199633
Larache,Morocco,120082
Ksar El Kebir,Morocco,306600
Safi,Morocco,353476
Tiznit,Morocco,57705
Ouezzane,Morocco,69658
Monaco,Monaco,36371
Leova,Moldova,
Rezina,Moldova,
Causeni,Moldova,
Riscani,Moldova,
Singerei,Moldova,
Falesti,Moldova,
Floresti,Moldova,
Soldanesti,Moldova,
Stefan Voda,Moldova,
Orhei,Moldova,
Comrat,Moldova,
Cimislia,Moldova,
Cantemir,Moldova,
Basarabeasca,Moldova,
Edinet,Moldova,
Ocnita,Moldova,
Drochia,Moldova,
Donduseni,Moldova,
Briceni,Moldova,
Ialoveni,Moldova,
Balti,Moldova,151355
Criuleni,Moldova,
Bender,Moldova,
Anenii Noi,Moldova,
Cahul,Moldova,63407
Chisinau,Moldova,688134
Straseni,Moldova,
Tiraspol,Moldova,157000
Telenesti,Moldova,
Taraclia,Moldova,
Dubasari,Moldova,23254
Cocieri,Moldova,
Calarasi,Moldova,
Glodeni,Moldova,
Hincesti,Moldova,
Nisporeni,Moldova,
Soroca,Moldova,
Ungheni,Moldova,
Berane,Montenegro,
Plav,Montenegro,
Andrijevica,Montenegro,
Petnjica,Montenegro,
Gusinje,Montenegro,
Kolasin,Montenegro,
Podgorica,Montenegro,145850
Bijelo Polje,Montenegro,
Bar,Montenegro,
Budva,Montenegro,
Cetinje,Montenegro,
Danilovgrad,Montenegro,
Herceg-Novi,Montenegro,
Kotor,Montenegro,
Mojkovac,Montenegro,
Niksic,Montenegro,
Pluzine,Montenegro,
Pljevlja,Montenegro,
Rozaje,Montenegro,
Savnik,Montenegro,
Tivat,Montenegro,
Ulcinj,Montenegro,
Zabljak,Montenegro,
Marigot,Saint Martin,
Antananarivo,Madagascar,1697000
Toamasina,Madagascar,210226
Antalaha,Madagascar,47224
Maroantsetra,Madagascar,38046
Mandritsara,Madagascar,9705
Besalampy,Madagascar,1022
Marovoay,Madagascar,31253
Andoany,Madagascar,22680
Mahajanga,Madagascar,154657
Ambanja,Madagascar,30621
Antsiranana,Madagascar,82937
Miandrivazo,Madagascar,20631
Mananjary,Madagascar,27686
Morombe,Madagascar,16727
Toliara,Madagascar,115319
Manja,Madagascar,1536
Fianarantsoa,Madagascar,184184
Androka,Madagascar,174
Bekiy,Madagascar,4286
Antsirabe,Madagascar,307921
Antsohihy,Madagascar,21290
Maintirano,Madagascar,5925
Ambatondrazaka,Madagascar,43134
Farafangana,Madagascar,24764
Ihosy,Madagascar,16990
Morondava,Madagascar,36803
Tolanaro,Madagascar,16818
Sambava,Madagascar,43465
Majuro,Marshall Islands,25400
Vevcani,Macedonia,
Kocani,Macedonia,
Staro Nagoricane,Macedonia,
Radovis,Macedonia,
Sopiste,Macedonia,
Petrovec,Macedonia,
Bosilovo,Macedonia,
Zrnovci,Macedonia,
Gradsko,Macedonia,
Lipkovo,Macedonia,
Lozovo,Macedonia,
Plasnica,Macedonia,
Aracinovo,Macedonia,
Studenicani,Macedonia,
Resen,Macedonia,
Bogovinje,Macedonia,
Vinica,Macedonia,
Belcista,Macedonia,
Mogila,Macedonia,
Veles,Macedonia,
Kavadarci,Macedonia,
Kumanovo,Macedonia,
Ohrid,Macedonia,
Strumica,Macedonia,
Makedonski Brod,Macedonia,
Rostusa,Macedonia,
Struga,Macedonia,
Cucer-Sandevo,Macedonia,
Novo Selo,Macedonia,
Zelenikovo,Macedonia,
Star Dojran,Macedonia,
Skopje,Macedonia,494087
Stip,Macedonia,
Makedonska Kamenica,Macedonia,
Ilinden,Macedonia,
Demir Hisar,Macedonia,
Zelino,Macedonia,
Prilep,Macedonia,
Bitola,Macedonia,86528
Krivogastani,Macedonia,
Krusevo,Macedonia,
Vasilevo,Macedonia,
Gostivar,Macedonia,
Vrapciste,Macedonia,
Novaci,Macedonia,
Caska,Macedonia,
Kratovo,Macedonia,
Probistip,Macedonia,
Debar,Macedonia,
Centar Zupa,Macedonia,
Rosoman,Macedonia,
Jegunovce,Macedonia,
Demir Kapija,Macedonia,
Negotino,Macedonia,
Konce,Macedonia,
Dolneni,Macedonia,
Sveti Nikole,Macedonia,
Valandovo,Macedonia,
Kicevo,Macedonia,
Delcevo,Macedonia,
Tetovo,Macedonia,119132
Cesinovo,Macedonia,
Karbinci,Macedonia,
Tearce,Macedonia,
Kriva Palanka,Macedonia,
Rankovce,Macedonia,
Pehcevo,Macedonia,
Gevgelija,Macedonia,
Bogdanci,Macedonia,
Berovo,Macedonia,
Brvenica,Macedonia,
Aguelhok,Mali,9000
Bamako,Mali,1494000
Kidal,Mali,
Bourem,Mali,30000
Mopti,Mali,108456
Gao,Mali,116967
Satadougou,Mali,706
Koulikoro,Mali,23919
Sikasso,Mali,225753
Araouane,Mali,4026
Segou,Mali,122952
Timbuktu,Mali,68872
Markala,Mali,53738
Taoudenni,Mali,3019
Kayes,Mali,77207
Sokolo,Mali,4374
Kita,Mali,46435
Nara,Mali,18459
Kati,Mali,66895
Kangaba,Mali,17232
San,Mali,41386
Bougouni,Mali,35450
Koutiala,Mali,104927
Djenne,Mali,32944
Yelimane,Mali,988
Bafoulabe,Mali,26823
Nioro du Sahel,Mali,14421
Goundam,Mali,8456
Menaka,Mali,9110
Tessalit,Mali,6000
Banamba,Mali,30591
Rangoon,Burma,4088000
Allanmyo,Burma,57897
Mudon,Burma,152300
Mawlamyine,Burma,438861
Phyarpon,Burma,65601
Labutta,Burma,1667
Dawei,Burma,146212
Myeik,Burma,266720
Ye,Burma,50798
Namtu,Burma,48591
Hinthada,Burma,180728
Thongwa,Burma,52496
Bago,Burma,284318
Pathein,Burma,237089
Yandoon,Burma,36172
Wakema,Burma,48405
Pyay,Burma,135308
Chauk,Burma,90870
Myitkyina,Burma,139100
Monywa,Burma,226222
Naypyidaw,Burma,930000
Loikaw,Burma,17293
Yaynangyoung,Burma,110553
Kyaukphyu,Burma,4261
Magway,Burma,125973
Shwebo,Burma,88914
Sagaing,Burma,78739
Myingyan,Burma,163812
Pakokku,Burma,126938
Mandalay,Burma,1300000
Taunggyi,Burma,160115
Pyu,Burma,40386
Taungoo,Burma,106945
Letpadan,Burma,176571
Sittwe,Burma,179032
Pa-an,Burma,50000
Hakha,Burma,20000
Olgiy,Mongolia,34934
Mandalgovi,Mongolia,2984
Ulaanbaatar,Mongolia,885000
Moron,Mongolia,27690
Darhan,Mongolia,74738
Erdenet,Mongolia,79647
Uliastay,Mongolia,8056
Choyr,Mongolia,
Altay,Mongolia,
Buyant-Uhaa,Mongolia,8776
Choybalsan,Mongolia,33376
Ulaangom,Mongolia,35796
Bulgan,Mongolia,17348
Arvayheer,Mongolia,28053
Tsetserleg,Mongolia,19812
Bayankhongor,Mongolia,26252
Darhan,Mongolia,
Dzuunharaa,Mongolia,18830
Dzuunmod,Mongolia,17738
Ondorhaan,Mongolia,14723
Dalandzadgad,Mongolia,
Ulaan-Uul,Mongolia,3726
Hodrogo,Mongolia,10
Baruun Urt,Mongolia,15805
Suchboatar,Mongolia,24235
Dund-Us,Mongolia,30500
Dalandzadgad,Mongolia,15093
Macau,Macau,568700
Fort-de-France,Martinique,253995
Bogue,Mauritania,10415
Chegga,Mauritania,10
Boutilimit,Mauritania,14142
Timbedra,Mauritania,245
Bir Mogrein,Mauritania,10
Fderik,Mauritania,5760
Selibaby,Mauritania,460
Aleg,Mauritania,8388
Akjoujt,Mauritania,370
Kiffa,Mauritania,73930
Nema,Mauritania,200000
Nouadhibou,Mauritania,86738
Rosso,Mauritania,47203
Tidjikdja,Mauritania,19981
Atar,Mauritania,44265
Kaedi,Mauritania,
Zouirat,Mauritania,56345
Arafat,Mauritania,
Dar Naim,Mauritania,
Tevragh Zeina,Mauritania,
Nouakchott,Mauritania,742144
Ayoun el Atrous,Mauritania,1423
Plymouth,Montserrat,
Birzebbuga,Malta,
Marsaskala,Malta,
Marsaxlokk,Malta,
Kirkop,Malta,
Pieta,Malta,
Zejtun,Malta,
Attard,Malta,
Pembroke,Malta,
Zebbug,Malta,
Ta' Xbiex,Malta,
Sliema,Malta,
San Lawrenz,Malta,
Imqabba,Malta,
Imdina,Malta,
Qala,Malta,
Imtarfa,Malta,
Zurrieq,Malta,
Gudja,Malta,
Sannat,Malta,
Valletta,Malta,368250
Zabbar,Malta,
Luqa,Malta,
Qormi,Malta,
Imgarr,Malta,
Saint Paul's Bay,Malta,
Qrendi,Malta,
Munxar,Malta,
Hamrun,Malta,
Naxxar,Malta,
Ghaxaq,Malta,
Ghasri,Malta,
Victoria,Malta,
Iklin,Malta,
Gharghur,Malta,
Dingli,Malta,
Siggiewi,Malta,
Xewkija,Malta,
Lija,Malta,
Safi,Malta,
Senglea,Malta,
Xaghra,Malta,
Xghajra,Malta,
Zebbug,Malta,
Gzira,Malta,
Imsida,Malta,
Kalkara,Malta,
Kercem,Malta,
Mellieha,Malta,
Mosta,Malta,
Nadur,Malta,
Paola,Malta,
Rabat,Malta,
Marsa,Malta,
San Giljan,Malta,
San Gwann,Malta,
Santa Lucija,Malta,
Santa Venera,Malta,
Swieqi,Malta,
Tarxien,Malta,
Balzan,Malta,
Vittoriosa,Malta,
Birkirkara,Malta,
Cospicua,Malta,
Fgura,Malta,
Floriana,Malta,
Fontana,Malta,
Ghajnsielem,Malta,
Gharb,Malta,
Port Louis,Mauritius,595491
Curepipe,Mauritius,299975
Male,Maldives,112927
Eydhafushi,Maldives,
Felidhoo,Maldives,
Funadhoo,Maldives,
Hithadhoo,Maldives,
Kudahuvadhoo,Maldives,
Kulhudhuffushi,Maldives,
Mahibadhoo,Maldives,
Manadhoo,Maldives,
Muli,Maldives,
Naifaru,Maldives,
Thinadhoo,Maldives,
Un'goofaaru,Maldives,
Veymandoo,Maldives,
Fonadhoo,Maldives,
Rasdhoo,Maldives,
Thulusdhoo,Maldives,
Dhihdhoo,Maldives,
Foammulah,Maldives,
Viligili,Maldives,
Nilandhoo,Maldives,
Thyolo,Malawi,
Mwanza,Malawi,11379
Chiradzulu,Malawi,1580
Karonga,Malawi,34207
Neno,Malawi,
Zomba,Malawi,80932
Chikwawa,Malawi,
Mulanje,Malawi,16483
Blantyre,Malawi,584877
Chiromo,Malawi,25235
Phalombe,Malawi,
Nsanje,Malawi,21774
Nkhata Bay,Malawi,22108
Rumphi,Malawi,
Chitipa,Malawi,13412
Mzuzu,Malawi,110201
Mzimba,Malawi,19308
Ntchisi,Malawi,
Dowa,Malawi,
Mchinji,Malawi,18305
Nkhotakota,Malawi,59854
Kasungu,Malawi,
Ntcheu,Malawi,10445
Dedza,Malawi,15608
Salima,Malawi,71181
Lilongwe,Malawi,646750
Mangochi,Malawi,97711
Balaka,Malawi,
Machinga,Malawi,1418
Nacozari de Garcia,Mexico,11872
